Country,ew
Afghanistan,0.38975101059979056
Albania,0.2189508189873339
Algeria,0.26065459266904245
Argentina,0.47508212422730234
Armenia,0.22670197130467734
Australia,0.8602926316747094
Austria,0.7154751514483092
Bangladesh,0.8407022790363373
Belgium,0.6902337998079515
Benin,0.3695943332987325
Bolivia,0.6395908869935963
Bosnia Herzegovina,0.35874900092034745
Brazil,0.5857227285954903
Bulgaria,0.29634482954960667
Burkina Faso,0.46502604891616656
Cambodia,0.7846112896711102
Cameroon,0.4363690645781234
Canada,0.7656008738013798
Chile,0.47953459716054786
Colombia,0.3669630652982861
Congo Brazzaville,0.3629035296856086
Costa Rica,0.6527818760742605
Croatia,0.1755114090117855
Cyprus,0.43656502998078034
Czech Republic,0.555488279834876
Denmark,0.7892027399684342
Dominican Republic,0.8229046452403471
Ecuador,0.4082560930121195
Egypt,0.7224662640906678
El Salvador,0.6036297330624845
Estonia,0.5575839205548966
Finland,0.8222329729889267
France,0.6663994798700141
Gabon,0.38697780006142085
Georgia,0.15065036006397736
Germany,0.8577748371852499
Ghana,0.5467115254365023
Greece,0.5511426295732393
Guinea,0.3494388492856555
Honduras,0.6670258180489431
Hong Kong,0.9461521602981363
Hungary,0.5525849421619015
Iceland,0.6029074554510778
India,0.7339343564833261
Indonesia,0.6618497559509054
Iran,0.473812934044322
Iraq,0.5994014247112128
Ireland,0.8874838915392584
Israel,0.7978486816808547
Italy,0.5588603533306037
Ivory Coast,0.3031441938858671
Jamaica,0.5487044497794029
Japan,0.7694990296415309
Jordan,0.8112178117325506
Kazakhstan,0.5476544104772876
Kenya,0.7156482307585733
Kosovo,0.30840111639877127
Kyrgyzstan,0.6116367563610148
Laos,0.8137529808057711
Latvia,0.671589012271618
Lebanon,0.4650667853681638
Lithuania,0.7972502168183648
Malaysia,0.6002283060214247
Mali,0.8298645686510929
Malta,0.5965723721362046
Mauritius,0.662431183519786
Mexico,0.5720943941877596
Moldova,0.6447055931466538
Mongolia,0.43815914597347033
Morocco,0.3507890934594025
Mozambique,0.7632813022711887
Myanmar,0.6101904198089816
Namibia,0.7873178046961102
Nepal,0.4003068910334304
Netherlands,0.774002612509525
New Zealand,0.5807369229135011
Nicaragua,0.8168093006168683
Nigeria,0.30210476094433064
North Macedonia,0.2997777756895288
Norway,0.7257003686807846
Pakistan,0.5365009554142759
Panama,0.5851980872421313
Paraguay,0.6353235031951776
Peru,0.5773005057330336
Philippines,0.9441275122140451
Poland,0.7454233808208297
Portugal,0.6111220011417542
Romania,0.48279222586160847
Russia,0.6815236532653175
Saudi Arabia,0.8057426045767292
Senegal,0.5211307795055232
Serbia,0.5058782810060342
Sierra Leone,0.47354131453900317
Singapore,0.44995220948417897
Slovakia,0.645440033466916
Slovenia,0.6179630547366403
South Africa,0.5553345934572749
South Korea,0.892454554965935
Spain,0.8925679440293179
Sri Lanka,0.6207209178426515
Sweden,0.762526012495094
Switzerland,0.8689935849937134
Taiwan,0.8417028245189783
Tajikistan,0.25190111764873835
Tanzania,0.5150405046360758
Thailand,0.8205034553052345
Togo,0.24262358955663235
Tunisia,0.28251786329954465
Turkey,0.26366349551755064
Uganda,0.6755838207560807
Ukraine,0.6969583965697432
United Arab Emirates,0.5903109878848677
United Kingdom,0.785682117515986
United States,0.8715816638883962
Uruguay,0.7519394291377329
Uzbekistan,0.3943439339526184
Venezuela,0.32626635530154424
Vietnam,0.9516158364107846
Zambia,0.577700195398905
Zimbabwe,0.7219938059535143
