iso3,borrowing_ability
ABW,0.575
AGO,0.446875
ALB,0.5453703703703704
AND,0.7340909090909091
ARE,0.7749999999999999
ARG,0.3
ARM,0.44166666666666665
AUS,0.9166666666666667
AUT,0.8916666666666666
AZE,0.6203703703703705
BEL,0.8424242424242425
BEN,1.0
BFA,0.4666666666666667
BGD,0.6083333333333334
BGR,0.7250000000000001
BHR,0.5833333333333334
BHS,0.575
BIH,0.5203703703703704
BLR,0.5166666666666667
BLZ,0.46111111111111114
BMU,0.7625
BOL,0.36666666666666664
BRA,0.55
BRB,0.5416666666666667
BWA,0.6708333333333334
CAN,0.825
CHE,1.0
CHL,0.8666666666666667
CHN,0.8166666666666667
CIV,0.44166666666666665
CMR,0.5
COD,0.375
COG,0.43020833333333336
COL,1.0
CPV,1.0
CRI,1.0
CUB,0.4916666666666667
CYM,0.8416666666666667
CYP,0.7007575757575758
CZE,0.925
DEU,0.9166666666666667
DNK,0.9166666666666667
DOM,1.0
ECU,0.43333333333333335
EGY,0.4666666666666667
ESP,0.7666666666666666
EST,0.8257575757575757
ETH,0.5083333333333333
FIN,0.8916666666666666
FJI,1.0
FRA,0.95
GAB,0.5041666666666667
GBR,0.8500000000000001
GEO,0.6416666666666667
GHA,0.47500000000000003
GRC,0.6666666666666667
GRD,1.0
GTM,1.0
HKG,0.8166666666666667
HND,1.0
HRV,0.6333333333333333
HUN,0.7083333333333334
IDN,0.6333333333333333
IMN,0.8340909090909091
IND,0.775
IRL,0.8340909090909091
IRQ,0.36666666666666664
ISL,0.7924242424242425
ISR,0.7694444444444445
ITA,0.7
JAM,0.5166666666666666
JOR,0.43333333333333335
JPN,0.8083333333333333
KAZ,0.7916666666666667
KEN,1.0
KGZ,0.4583333333333333
KHM,0.4606060606060606
KOR,0.9416666666666667
KWT,0.7777777777777777
LAO,0.22916666666666666
LBN,0.25
LIE,0.6590909090909092
LKA,1.0
LSO,0.24166666666666664
LTU,0.7924242424242425
LUX,0.9090909090909092
LVA,0.7757575757575758
MAC,0.8125
MAR,1.0
MDA,0.375
MDG,1.0
MDV,1.0
MEX,0.7083333333333334
MKD,0.4833333333333333
MLI,0.4083333333333333
MLT,0.7361111111111112
MNE,0.5328703703703704
MNG,0.5583333333333333
MOZ,0.5833333333333334
MSR,0.275
MUS,0.6916666666666667
MYS,0.7583333333333333
NAM,0.5333333333333333
NER,0.4083333333333333
NGA,0.5416666666666667
NIC,0.4666666666666667
NLD,0.9166666666666667
NOR,1.0
NZL,0.8916666666666666
OMN,0.5944444444444444
PAK,0.5083333333333333
PAN,1.0
PER,1.0
PHL,1.0
PNG,0.3875
POL,0.775
PRI,0.4
PRT,0.7416666666666667
PRY,0.6583333333333333
QAT,0.7666666666666666
ROU,1.0
RUS,0.6537037037037037
RWA,1.0
SAU,0.7444444444444445
SEN,0.5208333333333333
SGP,0.875
SLB,1.0
SLV,1.0
SMR,0.5340909090909092
SRB,1.0
SUR,0.4111111111111111
SVK,0.6333333333333333
SVN,0.8
SWE,0.9166666666666667
SWZ,0.5416666666666667
SYC,1.0
TGO,0.3875
THA,0.7416666666666667
TJK,1.0
TKM,0.3703703703703704
TTO,0.6666666666666667
TUN,0.4458333333333333
TUR,0.575
TWN,0.8166666666666667
TZA,1.0
UGA,0.5666666666666667
UKR,0.375
URY,0.6333333333333333
USA,0.9083333333333333
UZB,0.5333333333333333
VCT,1.0
VEN,0.3611111111111111
VNM,0.65
ZAF,0.625
ZMB,0.42500000000000004
AFG,0.5
ASM,0.75
ATG,0.8333333333333334
BDI,0.5
BRN,0.6666666666666666
BTN,1.0
CAF,0.6666666666666666
CHI,0.8181818181818182
COM,0.3333333333333333
CUW,0.8
DJI,0.5
DMA,1.0
DZA,1.0
ERI,0.6666666666666666
FRO,0.8181818181818182
FSM,0.6666666666666666
GIB,0.8181818181818182
GIN,0.6666666666666666
GMB,1.0
GNB,0.3333333333333333
GNQ,0.7666666666666667
GRL,0.8181818181818182
GUM,0.75
GUY,0.8
HTI,0.5
IRN,0.8333333333333334
KIR,1.0
KNA,0.6666666666666666
LBR,0.6666666666666666
LBY,0.41666666666666663
LCA,1.0
MAF,0.8
MCO,0.3333333333333333
MHL,1.0
MMR,0.5
MNP,0.75
MRT,1.0
MWI,1.0
NCL,0.75
NPL,1.0
NRU,0.3333333333333333
PLW,0.5
PRK,0.6403508771929824
PSE,0.3333333333333333
PYF,0.75
SDN,0.6666666666666666
SLE,0.6666666666666666
SOM,0.6666666666666666
SSD,0.6666666666666666
STP,0.6770833333333334
SXM,0.8
SYR,0.6666666666666666
TCA,0.6666666666666666
TCD,0.6666666666666666
TLS,0.8333333333333334
TON,1.0
TUV,1.0
VGB,0.8333333333333334
VIR,0.8
VUT,1.0
WSM,1.0
XKX,0.7407407407407408
YEM,0.3333333333333333
ZWE,0.8333333333333334
