country,avg_prod_k
Albania,0.16202216968574668
Algeria,0.21997907059240865
Angola,0.17186260685643784
Anguilla,0.10648615480072492
Antigua and Barbuda,0.15957204665763627
Argentina,0.3074152642375409
Armenia,0.469678089191154
Aruba,0.19888963433077606
Australia,0.23099803101387528
Austria,0.18186532022472657
Azerbaijan,0.6127220701287495
"Bahamas, The",0.18386339390287162
Bahrain,0.18899274123987073
Bangladesh,0.2770114487863902
Barbados,0.1222877059404076
Belarus,0.3634728967331161
Belgium,0.17009500737381328
Belize,0.24618765352857863
Benin,0.4570694328380306
Bermuda,0.32633418992350466
Bhutan,0.15485283162287
Bolivia,0.48238079763710623
Bosnia and Herzegovina,0.36384492670064134
Botswana,0.21584996202890477
Brazil,0.2423649776461265
"Virgin Islands, British",0.2815818725435017
Brunei Darussalam,0.1643908938960592
Bulgaria,0.34702291863864165
Burkina Faso,0.5136741699207948
Burundi,0.5273924728010927
Cape Verde,0.22388715539259718
Cambodia,0.3871356096650716
Cameroon,0.4033385932793022
Canada,0.2209511482560882
Cayman Islands,0.2832553672683424
Central African Republic,0.15963415104773776
Chad,0.5538995526753602
Chile,0.22311463099423323
China,0.20226869046930582
"Hong Kong SAR, China",0.17865224410380803
"Macao SAR, China",0.2911923319948543
Colombia,0.34146505174868186
Comoros,0.24532955097242454
"Congo, Rep.",0.17760605179703118
Costa Rica,0.43261932255359703
Croatia,0.20341490490168024
Cyprus,0.1451910922152238
Czech Republic,0.19013098402060497
Cote d'Ivoire,0.5264144049225482
"Congo, Dem. Rep.",0.32771689599153253
Denmark,0.21172682437904242
Djibouti,0.5545364212082405
Dominica,0.29079181047939545
Dominican Republic,0.24862508642175815
Ecuador,0.18060502619358446
"Egypt, Arab Rep.",0.7411056618723808
El Salvador,0.30212378059748374
Equatorial Guinea,0.29687373682733303
Estonia,0.2239238114723021
Swaziland,0.31404057961183984
Ethiopia,0.4834511165692108
Fiji,0.4620055737591007
Finland,0.19991804595040583
France,0.17668124683823622
Gabon,0.27297777313868626
"Gambia, The",0.5058967226596787
Georgia,0.26043967643408783
Germany,0.21800234539705118
Ghana,0.4015998812071467
Greece,0.12470324872956334
Grenada,0.282115625889488
Guatemala,0.3252414222281725
Guinea,0.5326179953434279
Guinea-Bissau,0.6111865352628437
Haiti,0.11433196860146515
Honduras,0.24259264015249607
Hungary,0.20937668409697455
Iceland,0.2088920584384275
India,0.26808751560353083
Indonesia,0.1761408179006248
"Iran, Islamic Rep.",0.16736178418633862
Iraq,0.4073304239369676
Ireland,0.27491920622194305
Israel,0.2848230351273969
Italy,0.14345010664311653
Jamaica,0.17381211069959124
Japan,0.21067857354295638
Jordan,0.30982958107400826
Kazakhstan,0.4992063423501769
Kenya,0.44207779697977306
Kuwait,0.2785053007416826
Kyrgyz Republic,0.485430091589271
Lao PDR,0.2864886795282072
Latvia,0.13433888017759493
Lebanon,0.17788026340875157
Lesotho,0.21715833947341423
Liberia,0.2623024378712349
Lithuania,0.2598650358328045
Luxembourg,0.2372362621786413
Madagascar,0.4516007373953485
Malawi,0.9707059348850776
Malaysia,0.24949212698674084
Maldives,0.17934246468391105
Mali,0.6798061699455986
Malta,0.28775624634153857
Mauritania,0.22076578577680425
Mauritius,0.32153921983997297
Mexico,0.23087021820623913
Mongolia,0.22914325221774237
Montenegro,0.3178534786705985
Morocco,0.20080164161649414
Mozambique,0.3294826964673195
Myanmar,0.34198358432077974
Namibia,0.312294397553134
Nepal,0.31064782597856616
Netherlands,0.2157709406280088
New Zealand,0.3282052982123362
Nicaragua,0.26510141584931673
Niger,0.23278847187557952
Nigeria,0.33211773435943276
"Macedonia, FYR",0.2633828630982844
Norway,0.23773524714427238
Oman,0.19563885107014395
Pakistan,0.6522309077626153
Panama,0.24867076843824124
Paraguay,0.32039027475084436
Peru,0.2774178440794039
Philippines,0.3459349526152716
Poland,0.42158623054222205
Portugal,0.1251835191172326
Qatar,0.19534871409382548
"Korea, Rep.",0.20279720920777902
Moldova,0.4075954431814228
Romania,0.3181439389878922
Russian Federation,0.2324524602368638
Rwanda,0.585174807157438
St. Kitts and Nevis,0.11817878168073861
St. Lucia,0.23796442368118045
Sao Tome and Principe,0.2339209650981573
Saudi Arabia,0.2647807096184093
Senegal,0.3456410886964015
Serbia,0.2280092387089795
Seychelles,0.17926447233337167
Sierra Leone,0.944750855404646
Singapore,0.23881925729136644
Slovak Republic,0.21839330687198988
Slovenia,0.15744270973287583
South Africa,0.2609504893395919
Spain,0.16670477850299206
Sri Lanka,0.34732239754243355
St. Vincent and the Grenadines,0.14532744985440793
West Bank and Gaza,0.28621480308801545
Sudan,0.6196936360546678
Suriname,0.1601027779156778
Sweden,0.22170190067143244
Switzerland,0.22899160633982424
Syrian Arab Republic,0.3084740473139799
Taiwan,0.294286179609934
Tajikistan,0.10886153287159044
Thailand,0.2661875047234859
Togo,0.3975163837569679
Trinidad and Tobago,0.5333503578087184
Tunisia,0.4027351818419936
Turkey,0.23191721266739587
Turkmenistan,0.1868522895533863
Turks and Caicos Islands,0.16739419189726473
Tanzania,0.33928612187221824
Uganda,0.5221099997715624
Ukraine,0.08886634939539849
United Arab Emirates,0.14265133496611615
United Kingdom,0.21166971628155043
United States,0.29780171552966045
Uruguay,0.22444330821553823
Uzbekistan,0.34639468776606985
"Venezuela, RB",0.03549734219505789
Vietnam,0.3685205824381082
"Yemen, Rep.",0.09785451184269955
Zambia,0.1999607740585774
Zimbabwe,0.6916635274013144
Cuba,0.3900885552741554
French Polynesia,0.15669211889828197
Guyana,0.38084819217434374
Kiribati,0.28394957983193275
Marshall Islands,0.22845953002610966
New Caledonia,0.1567434114415941
Palau,0.3167179487179487
Papua New Guinea,0.32518120719724364
Puerto Rico,0.3918303323939312
Solomon Islands,0.29688600054156516
Timor-Leste,0.12895241137016927
Tonga,0.3578357636224098
Tuvalu,0.3100813008130081
Vanuatu,0.297067615658363
Virgin Islands (U.S.),0.37350299401197606
