iso3,gdp_pc_pp,pop
AGO,7244.89305295156,36749906.0
ALB,17975.7983946412,2745972.0
ARG,27104.9799978169,45538401.0
ARM,19230.1899296884,2990900.0
AUS,60408.9433675784,26658948.0
AUT,64336.037528916,9131761.0
AZE,21262.2979971542,10153958.0
BEL,62876.2387717275,11787423.0
BEN,3721.2245272339,14111034.0
BFA,2482.07225343805,23025776.0
BGD,8242.39798977242,171466990.0
BGR,33111.7332099418,6446596.0
BIH,19829.2822572462,3185073.0
BLR,27718.3231175409,9178298.0
BOL,9843.97014174079,12244159.0
BRA,19018.2390697496,211140729.0
BTN,14061.3120213689,786385.0
BWA,18846.2504612042,2480244.0
CAN,56686.9159498906,40097761.0
CHE,81683.8662644452,8888093.0
CHL,29490.7584920368,19658835.0
CHN,22137.5998277466,1410710000.0
CIV,6485.31584901747,31165654.0
CMR,4870.57076514365,28372687.0
COD,1455.8356229714,105789731.0
COG,6172.28776650683,6182885.0
COL,18324.9053005691,52321152.0
COM,3498.80327064529,850387.0
CPV,9288.4021703944,522331.0
CRI,25989.9098073719,5105525.0
CYP,52148.04296875,1344976.0
CZE,47452.3485573819,10864042.0
DEU,63097.7108010283,83280000.0
DJI,6400.62016334753,1152944.0
DNK,71390.0024641919,5946952.0
DOM,23087.9343626862,11331265.0
ECU,14472.3165053895,17980083.0
EGY,16691.1332373374,114535772.0
ESP,47298.4121876661,48347910.0
EST,41668.8375702059,1370286.0
ETH,2755.45709577808,128691692.0
FIN,56454.8496937512,5583911.0
FJI,13652.4908672464,924145.0
FRA,53969.0375681581,68287487.0
FSM,3886.69657098366,112630.0
GAB,18702.6905177984,2484789.0
GBR,52588.9794302902,68350000.0
GEO,22590.5293543813,3715483.0
GHA,6796.47361923819,33787914.0
GIN,3949.34013510824,14405468.0
GMB,2932.28059517915,2697845.0
GNB,2578.80453427114,2153339.0
GRC,36821.2753699812,10405588.0
GRD,16946.473156154,117081.0
GTM,12389.385871782,18124838.0
HND,6468.30192068321,10644851.0
HRV,41100.2524147116,3859686.0
HTI,2956.46213701659,11637398.0
HUN,40167.9924788499,9592186.0
IDN,13889.8828825663,281190067.0
IND,9160.06365370888,1438069596.0
IRL,115401.125283215,5307600.0
IRN,15912.0299184195,90608707.0
IRQ,12711.0616746745,45074049.0
ISL,66880.0658104169,393349.0
ISR,48356.0899146248,9756600.0
ITA,52588.6899412963,58993475.0
JAM,10291.3126701479,2839786.0
JOR,9362.58776056423,11439213.0
JPN,45948.6761132298,124516650.0
KAZ,34703.2349286604,20330104.0
KEN,5682.98916248678,55339003.0
KGZ,6403.14308780476,7099750.0
KIR,3195.87039847415,132530.0
KOR,49995.4877276869,51712619.0
LAO,8372.15591874407,7664993.0
LBN,11474.7505845558,5773493.0
LBR,1616.92373356695,5493031.0
LCA,23403.4617661837,179285.0
LKA,13029.523937847,22037000.0
LSO,2595.82952310453,2311472.0
LTU,46118.092510024,2871585.0
LUX,130373.477941928,666430.0
LVA,38333.1714338943,1877445.0
MAR,8868.7119140625,37712505.0
MDA,15855.2737421842,2457783.0
MDV,22286.9801703571,525994.0
MEX,21874.0161543764,129739759.0
MHL,6786.69569336005,38827.0
MKD,23323.9034075339,1827816.0
MLI,2394.67216396924,23769127.0
MMR,5364.13797034407,54133798.0
MNE,27342.823774098,616177.0
MNG,16222.8638898529,3481145.0
MOZ,1511.63653474992,33635160.0
MRT,6258.71091329181,5022441.0
MUS,26590.4238819278,1261041.0
MWI,1648.43651796379,21104482.0
MYS,32812.2997525336,35126298.0
NAM,10105.5147732431,2963095.0
NER,1703.39693250647,26159867.0
NGA,5593.05661448231,227882945.0
NIC,7486.94276222499,6823613.0
NLD,70610.1704537706,17877117.0
NOR,90160.1575016309,5519594.0
NPL,4859.80010436735,29694614.0
NRU,12462.8412884717,11875.0
PAK,5439.18762006677,247504495.0
PAN,35863.880148831,4458759.0
PER,15294.2567811201,33845617.0
PHL,9901.05652395692,114891199.0
PNG,4174.44164016586,10389635.0
POL,43585.1194236272,36687353.0
PRT,41498.3669564203,10578174.0
PRY,15783.1150120746,6844146.0
PSE,5313.09790291178,5165775.0
QAT,116159.142559471,2656032.0
ROU,40267.3065891116,19059479.0
RUS,39753.45703125,143826130.0
RWA,3060.02893126731,13954471.0
SDN,2469.19458007813,50042791.0
SEN,4317.2263915953,18077573.0
SLB,2534.02756338361,800005.0
SLE,3034.21894320278,8460512.0
SLV,11404.3342262685,6309624.0
SRB,25718.4299758377,6623183.0
STP,5541.3016760535,230871.0
SUR,19043.7052869285,628886.0
SVK,39171.7826208886,5426740.0
SVN,47825.2300822798,2120461.0
SWE,62665.2172577283,10536632.0
SWZ,10132.1872615949,1230506.0
SYR,4454.85373271464,23594623.0
TCD,1679.4615323912,19319064.0
TGO,2767.51655834427,9304337.0
THA,21142.6643331162,71702435.0
TJK,4472.3241378777,10389799.0
TLS,4328.50782017194,1384286.0
TON,6901.73855566074,104597.0
TUN,12552.9866903456,12200431.0
TUR,34251.5790048407,85325965.0
TZA,3620.79345703125,66617606.0
UGA,2791.05576885861,48656601.0
UKR,15885.2255859375,37732836.0
URY,31019.3113912098,3388081.0
USA,74577.5065396723,334914895.0
UZB,10007.6855026198,35652307.0
VNM,13491.879417397,100352192.0
VUT,3118.39603259733,320409.0
WSM,6304.34613688419,216663.0
XKX,13642.6769565744,1756366.0
ZAF,13690.3894584515,63212384.0
ZMB,3673.4841969922,20723965.0
ZWE,3442.25132658294,16340822.0
